CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
9254,686,France,Male,32,6,0.0,2,1,1,179093.26
1561,632,Germany,Male,42,4,119624.6,2,1,1,195978.86
1670,559,Spain,Male,24,3,114739.92,1,1,0,85891.02
6087,561,France,Female,27,9,135637.0,1,1,0,153080.4
6669,517,France,Male,56,9,142147.32,1,0,0,39488.04
5933,569,France,Male,41,4,120243.49,1,1,0,163150.03
8829,683,France,Female,40,1,0.0,2,0,0,75762.0
7945,759,France,Female,45,8,0.0,2,1,1,99251.24
3508,426,France,Female,34,3,0.0,2,1,1,61230.83
2002,601,France,Male,74,2,0.0,2,0,1,51554.58
5866,735,France,Female,53,8,123845.36,2,0,1,170454.93
168,667,Spain,Female,39,2,0.0,2,1,0,40721.24
2588,741,France,Male,32,5,0.0,1,1,1,64839.23
5905,511,France,Female,30,5,0.0,2,1,0,143994.86
9529,508,France,Female,41,5,0.0,2,1,1,94170.84
6384,529,France,Female,31,7,0.0,2,1,1,175697.87
7824,673,France,Female,44,8,133444.97,1,0,1,5708.19
9779,515,Spain,Male,40,10,121355.99,1,1,0,138360.29
4629,850,Germany,Male,49,8,98649.55,1,1,0,119174.88
8560,627,Germany,Male,28,5,71097.23,1,1,1,130504.49
9291,636,France,Male,36,5,117559.05,2,1,1,111573.3
6874,798,France,Male,28,3,0.0,2,1,0,2305.27
6521,700,Germany,Male,35,4,95853.39,2,1,0,192933.37
8979,514,France,Male,35,3,121030.9,1,1,0,10008.68
6647,713,France,Female,37,8,0.0,1,1,1,16403.41
9825,467,Germany,Male,28,10,126315.26,1,1,0,32349.29
210,689,Germany,Male,33,2,161814.64,2,1,0,169381.9
5278,510,Germany,Male,31,0,113688.63,1,1,0,33099.41
1919,618,France,Male,56,7,0.0,1,1,1,142400.27
718,474,France,Male,45,10,0.0,2,0,0,172175.9
4868,754,France,Male,37,6,0.0,1,1,1,116141.72
7834,703,France,Male,56,9,0.0,1,0,0,85547.33
1298,683,France,Male,30,10,57657.49,1,0,0,79240.9
9193,597,France,Female,26,8,149989.39,1,1,0,42330.58
4617,812,France,Male,24,10,0.0,2,1,1,156906.15
3128,832,Spain,Female,34,6,138190.13,2,0,1,146511.2
9795,506,France,Male,43,2,0.0,2,1,0,105568.6
3979,685,France,Female,40,7,0.0,1,1,0,72852.74
9924,632,Germany,Female,50,5,107959.39,1,1,1,6985.34
8317,666,France,Female,27,4,0.0,2,0,0,88751.45
4393,775,Germany,Female,38,6,179886.41,2,0,0,153122.58
1287,698,Spain,Female,39,9,161993.89,1,0,0,90212.38
4355,657,France,Female,39,4,80293.81,1,1,0,97192.76
7013,748,France,Female,34,8,0.0,2,1,0,53584.03
3885,642,Germany,Female,56,6,103244.86,2,1,0,143049.72
5749,844,France,Female,29,8,0.0,2,0,0,147342.03
9169,766,France,Female,45,6,0.0,2,0,0,147184.74
2407,708,Germany,Female,43,0,118994.84,1,1,0,181499.77
2013,705,Germany,Male,35,4,136496.12,2,1,0,116672.02
5153,695,France,Female,29,9,0.0,2,1,0,111565.45
8551,507,Spain,Male,32,7,0.0,2,1,0,67926.18
4376,614,France,Female,34,5,0.0,2,1,0,185561.89
8822,543,France,Male,64,4,0.0,2,1,1,148305.82
4273,562,France,Male,75,5,87140.85,1,1,1,39351.64
5825,607,Spain,Female,62,8,108004.64,1,1,1,23386.77
6699,709,France,Female,41,3,150300.65,2,1,0,71672.86
7243,634,France,Male,77,5,0.0,2,1,1,161579.85
449,778,Spain,Female,47,6,127299.34,2,1,0,124694.99
2227,633,Spain,Male,58,6,98308.51,1,1,1,132034.13
5756,645,Germany,Male,28,7,117466.03,2,1,1,34490.06
810,618,France,Female,35,10,0.0,2,1,0,180439.75
4180,607,Germany,Male,36,10,106702.94,2,0,0,198313.69
9000,616,France,Male,37,9,0.0,1,1,0,111312.96
5438,679,France,Male,34,7,160515.37,1,1,0,121904.14
7533,630,Germany,Female,51,0,108449.23,3,0,0,88372.69
6369,646,France,Female,38,2,0.0,2,0,0,178752.73
8416,528,Germany,Male,32,2,99092.45,1,0,1,111149.98
1477,776,France,Male,37,2,0.0,1,0,1,8065.0
1790,697,Germany,Female,74,3,108071.36,2,1,1,16445.79
2008,639,France,Male,43,6,99610.92,2,1,0,187296.78
682,651,Germany,Female,41,4,133432.59,1,0,1,151303.48
2816,683,France,Male,25,4,0.0,2,1,0,152698.24
9431,523,Spain,Female,24,5,172231.93,1,0,1,155144.12
3774,850,France,Male,61,1,0.0,1,1,0,53067.83
6495,617,Germany,Female,39,5,83348.89,3,1,0,7953.62
8878,645,Germany,Male,47,9,152076.93,1,1,0,121840.2
7361,692,France,Female,36,4,0.0,1,1,0,185580.89
8366,637,France,Male,41,2,0.0,2,0,1,102515.42
7474,704,France,Male,50,4,165438.26,1,1,0,120770.75
46,829,Germany,Female,27,9,112045.67,1,1,1,119708.21
30,591,Spain,Female,39,3,0.0,3,1,0,140469.38
8250,850,France,Female,35,9,0.0,2,0,0,25329.48
6935,670,France,Male,33,1,0.0,2,1,1,86413.11
1468,691,France,Male,52,3,0.0,1,1,0,175843.68
1665,749,France,Male,42,1,129776.72,2,0,1,143538.51
1416,585,Spain,Female,33,8,0.0,2,1,0,114182.07
6480,679,France,Female,24,6,114948.76,2,0,1,135768.25
4852,687,Spain,Male,35,3,0.0,2,1,1,176450.19
2470,689,Spain,Female,31,3,139799.63,1,0,1,120663.57
4373,546,Spain,Female,45,2,0.0,1,0,0,197789.83
8524,711,France,Female,34,6,0.0,2,1,1,175310.38
429,568,Germany,Male,40,1,99282.63,1,0,0,134600.94
5244,672,Spain,Male,43,5,0.0,2,1,1,64515.5
2119,690,France,Male,29,5,0.0,2,1,0,108577.97
385,560,France,Female,66,9,0.0,1,1,1,15928.49
1945,734,France,Male,22,5,130056.23,1,0,0,121894.31
4224,767,Spain,Male,47,2,0.0,1,1,0,48161.18
473,785,France,Male,28,8,0.0,2,1,0,77231.27
2129,702,France,Male,34,4,100054.77,1,1,0,109496.45
6556,840,Germany,Female,51,1,87779.83,1,0,1,36687.11
6998,666,Spain,Female,47,5,0.0,1,0,0,166650.9
1055,545,Spain,Female,74,3,0.0,2,1,1,161326.73
3274,629,France,Female,31,6,0.0,1,1,1,16447.6
4961,689,Germany,Male,45,0,130170.82,2,1,0,150856.38
5363,771,Spain,Male,51,5,135506.58,3,1,1,152479.64
5816,547,France,Male,43,1,92350.36,1,0,1,80262.91
811,681,Spain,Male,65,7,134714.7,2,0,1,190419.81
4573,645,France,Female,24,3,34547.82,1,1,1,11638.17
6137,652,France,Female,51,3,0.0,1,1,0,173989.47
2388,762,Germany,Male,34,4,88815.56,2,1,0,68562.26
9648,608,Germany,Female,40,7,96202.32,1,0,0,161154.85
6225,598,Germany,Male,32,9,123938.6,2,1,0,198894.42
111,538,Germany,Male,39,7,108055.1,2,1,0,27231.26
